time,x_rms,x_freq_0,x_mag_0,x_freq_1,x_mag_1,x_freq_2,x_mag_2,y_rms,y_freq_0,y_mag_0,y_freq_1,y_mag_1,y_freq_2,y_mag_2,z_rms,z_freq_0,z_mag_0,z_freq_1,z_mag_1,z_freq_2,z_mag_2 
154887,8.7082,14.0625,38.2957,19.5312,35.1089,11.7188,31.8622,8.0628,61.7188,18.4945,7.0312,18.1703,122.6562,17.7740,11.3041,171.0938,36.0759,146.0938,35.4067,123.4375,32.7204
156112,6.9414,16.4062,26.7724,18.7500,23.6509,26.5625,22.8843,7.7394,7.0312,27.2986,8.5938,26.5782,3.9062,22.0758,10.7024,123.4375,39.0131,121.0938,38.8029,132.0312,29.3665
157388,6.5023,10.9375,24.8071,20.3125,22.3035,22.6562,21.8505,7.2474,7.8125,24.2686,161.7188,21.7413,175.7812,20.9831,10.5571,161.7188,33.6917,121.8750,33.2851,123.4375,31.9371
158663,6.3348,13.2812,27.1313,11.7188,23.5962,14.0625,21.4747,7.4622,7.0312,26.5545,7.8125,22.5399,165.6250,21.1467,10.2666,0.0000,46.1160,153.9062,31.1210,124.2188,27.2666
159939,168.2237,0.7812,1966.4357,2.3438,1150.6251,3.1250,825.1110,414.1414,0.7812,5643.1514,1.5625,3216.2939,2.3438,799.7562,1189.5208,0.7812,16705.6914,1.5625,8496.2236,2.3438,1740.2163
161214,190.8406,0.7812,1704.6841,1.5625,1044.1840,2.3438,919.7999,469.2665,1.5625,5127.6958,0.7812,4789.5264,2.3438,2016.5377,1541.5895,0.7812,23617.0508,1.5625,6064.6997,5.4688,1936.0135
162490,207.1922,0.7812,2428.2505,3.9062,1175.7673,1.5625,836.9456,477.1332,0.7812,5830.2891,1.5625,4323.6313,2.3438,1535.8363,1599.2540,0.7812,24369.3555,1.5625,6169.7129,3.1250,3086.6145
163716,205.9676,0.7812,2379.4949,2.3438,883.6956,3.9062,839.7245,462.9489,1.5625,5076.6294,0.7812,4729.9434,2.3438,1172.9669,1609.0027,0.7812,25327.6719,1.5625,3362.6987,2.3438,1773.8579
164992,181.5170,0.7812,1517.4354,1.5625,1105.1986,4.6875,974.6049,512.2498,0.7812,5882.3784,1.5625,4952.1992,3.1250,1220.3750,1695.9576,0.7812,26808.5117,1.5625,2459.4165,2.3438,2076.9529
166267,224.1537,0.7812,2896.6863,2.3438,920.3326,7.8125,740.5296,558.2782,1.5625,6111.7559,0.7812,6094.3208,3.1250,1790.8879,1708.7496,0.7812,26159.7930,2.3438,5487.3506,1.5625,4303.8662
